"Date","Price","Open","High","Low","Change %"
"Dec 17, 2018","71.610","71.900","71.900","71.496","-0.43%"
"Dec 14, 2018","71.920","71.550","72.043","71.550","0.55%"
"Dec 13, 2018","71.530","71.858","71.858","71.456","-0.43%"
"Dec 12, 2018","71.840","72.283","72.283","71.769","-0.62%"
"Dec 11, 2018","72.291","72.506","72.506","71.691","-0.32%"
"Dec 10, 2018","72.520","71.360","72.637","71.240","2.34%"
"Dec 07, 2018","70.860","70.570","70.860","70.453","0.01%"
"Dec 06, 2018","70.850","70.810","71.150","70.745","0.41%"
"Dec 05, 2018","70.560","70.710","70.750","70.390","0.04%"
"Dec 04, 2018","70.530","70.500","70.690","70.330","0.13%"
"Dec 03, 2018","70.440","69.880","70.470","69.880","1.13%"
"Nov 30, 2018","69.650","69.695","69.915","69.570","-0.19%"
"Nov 29, 2018","69.780","70.110","70.145","69.780","-1.22%"
"Nov 28, 2018","70.640","70.900","70.900","70.580","-0.20%"
"Nov 27, 2018","70.785","70.815","71.030","70.710","-0.05%"
"Nov 26, 2018","70.820","70.495","70.905","70.310","0.23%"
"Nov 23, 2018","70.655","70.675","70.675","70.655","-0.05%"
"Nov 22, 2018","70.690","71.135","71.195","70.675","-0.86%"
"Nov 21, 2018","71.305","71.415","71.415","71.305","-0.17%"
"Nov 20, 2018","71.430","71.370","71.523","71.287","-0.25%"
"Nov 19, 2018","71.610","71.925","72.082","71.550","-0.51%"
"Nov 16, 2018","71.980","71.995","71.995","71.715","0.09%"
"Nov 15, 2018","71.915","72.035","72.185","71.870","-0.55%"
"Nov 14, 2018","72.310","72.175","72.405","72.005","-0.42%"
"Nov 13, 2018","72.615","72.795","72.810","72.515","-0.34%"
"Nov 12, 2018","72.860","72.735","73.067","72.735","0.52%"
"Nov 09, 2018","72.480","72.680","72.828","72.415","0.14%"
"Nov 08, 2018","72.380","72.460","72.460","72.380","-0.10%"
"Nov 07, 2018","72.450","72.950","72.950","72.450","-0.69%"
"Nov 06, 2018","72.955","72.945","73.075","72.905","-0.17%"
"Nov 05, 2018","73.080","72.807","73.135","72.757","0.88%"
"Nov 02, 2018","72.440","73.125","73.215","72.430","-1.38%"
"Nov 01, 2018","73.455","73.855","73.873","73.455","-0.68%"
